Symbol,Name,Sector,Industry,Type,Source,Website,LogoUrl,Exchange,ShortName,LongName,Market,FundFamily,MarketCapValue,YahooTicker,ExchangeCode
DAN,Arianne Phosphate Inc,Basic Materials,Other Industrial Metals & Mining,EQUITY,,https://www.arianne-inc.com,https://logo.clearbit.com/arianne-inc.com,VAN,ARIANNE PHOSPHATE INC,Arianne Phosphate Inc.,ca_market,,61203124,DAN.V,TSXV
DAQ.P,Dominus Acquisition Corp,,,,,,,,,,,,,DAQ.P.V,TSXV
DAR,Darelle Online Solutions Inc,Communication Services,Internet Content & Information,EQUITY,,https://www.darelle.com,https://logo.clearbit.com/darelle.com,VAN,DARELLE ONLINE SOLUTIONS INC,Darelle Online Solutions Inc.,ca_market,,368540,DAR.V,TSXV
DAU,Desert Gold Ventures Inc,Basic Materials,Other Industrial Metals & Mining,EQUITY,,https://www.desertgold.ca,https://logo.clearbit.com/desertgold.ca,VAN,DESERT GOLD VENTURES INC.,Desert Gold Ventures Inc.,ca_market,,12765470,DAU.V,TSXV
DB,Decibel Cannabis Company Inc,Healthcare,Drug Manufacturers—Specialty & Generic,EQUITY,,https://www.decibelcc.com,https://logo.clearbit.com/decibelcc.com,VAN,DECIBEL CANNABIS COMPANY INC,Decibel Cannabis Company Inc.,ca_market,,40371200,DB.V,TSXV
DB.WT.A,Decibel Cannabis CO Inc Wts A,,,,,,,,,,,,,DB.WT.A.V,TSXV
DBG,Doubleview Gold Corp,Basic Materials,Other Industrial Metals & Mining,EQUITY,,https://www.doubleview.ca,https://logo.clearbit.com/doubleview.ca,VAN,DOUBLEVIEW GOLD CORP,Doubleview Gold Corp.,ca_market,,51564736,DBG.V,TSXV
DCMC,Dore Copper Mining Corp,Basic Materials,Copper,EQUITY,,https://www.dorecopper.com,https://logo.clearbit.com/dorecopper.com,VAN,DORE COPPER MINING CORP,Doré Copper Mining Corp.,ca_market,,22151038,DCMC.V,TSXV
DCOP,District Copper Corp,Basic Materials,Other Industrial Metals & Mining,EQUITY,,https://www.districtcoppercorp.com,https://logo.clearbit.com/districtcoppercorp.com,VAN,DISTRICT COPPER CORP,District Copper Corp.,ca_market,,1550757,DCOP.V,TSXV
DCY,Discovery-Corp Enterprises Inc,Basic Materials,Other Precious Metals & Mining,EQUITY,,https://www.discovery-corp.com,https://logo.clearbit.com/discovery-corp.com,VAN,DISCOVERY-CORP. ENTERPRISES INC,Discovery-Corp Enterprises Inc.,ca_market,,942697,DCY.V,TSXV
